date,pit_id,target_tons,actual_tons,rainfall_mm,excavator_downtime_hrs,dumper_downtime_hrs,blasting_delay_mins
2025-01-01,Bharveli_Pit_1,850,688,0.9,3.3,2.1,15
2025-01-01,Ukwa_Pit_2,600,469,0.1,2.2,1.5,30
2025-01-01,Tirodi_Pit_3,750,578,0.0,3.9,2.9,0
2025-01-01,Dongri_Buzurg_Pit_4,900,860,0.7,0.8,0.9,0
2025-01-01,Mansar_Pit_5,500,461,1.9,0.2,0.6,0
2025-01-01,Kandri_Pit_6,650,600,0.4,0.8,1.4,0
2025-01-01,Keonjhar_Pit_1,800,719,1.9,0.2,0.1,60
2025-01-01,Barbil_Pit_2,850,821,2.3,0.6,0.2,0
2025-01-01,Joda_Pit_3,700,587,0.1,2.6,0.5,15
2025-01-01,Garividi_Pit_1,600,470,1.6,0.2,5.6,30
2025-01-01,Vizianagaram_Pit_2,550,369,5.6,2.5,1.5,45
2025-01-01,Sandur_Pit_1,750,689,1.0,0.3,2.8,0
2025-01-01,Ballari_Pit_2,650,586,0.7,0.9,0.2,30
2025-01-02,Bharveli_Pit_1,850,711,0.0,1.9,2.0,30
2025-01-02,Ukwa_Pit_2,600,569,3.0,0.1,0.7,0
2025-01-02,Tirodi_Pit_3,750,723,0.8,0.1,0.6,0
2025-01-02,Dongri_Buzurg_Pit_4,900,788,2.6,1.1,3.5,0
2025-01-02,Mansar_Pit_5,500,423,2.9,0.9,2.4,0
2025-01-02,Kandri_Pit_6,650,624,1.5,0.6,0.0,0
2025-01-02,Keonjhar_Pit_1,800,706,0.8,0.8,3.8,0
2025-01-02,Barbil_Pit_2,850,799,1.1,1.5,0.4,0
2025-01-02,Joda_Pit_3,700,544,5.3,1.8,1.6,45
2025-01-02,Garividi_Pit_1,600,505,3.3,0.2,3.6,15
2025-01-02,Vizianagaram_Pit_2,550,430,0.5,0.6,2.7,45
2025-01-02,Sandur_Pit_1,750,712,0.0,0.8,0.9,0
2025-01-02,Ballari_Pit_2,650,566,5.7,0.4,1.2,30
2025-01-03,Bharveli_Pit_1,850,646,0.9,3.9,5.3,0
2025-01-03,Ukwa_Pit_2,600,553,0.7,0.0,1.5,15
2025-01-03,Tirodi_Pit_3,750,669,0.1,0.4,3.8,0
2025-01-03,Dongri_Buzurg_Pit_4,900,801,8.5,0.3,1.8,30
2025-01-03,Mansar_Pit_5,500,417,0.5,1.4,0.7,15
2025-01-03,Kandri_Pit_6,650,553,0.2,2.0,0.6,0
2025-01-03,Keonjhar_Pit_1,800,751,0.1,1.0,1.8,0
2025-01-03,Barbil_Pit_2,850,801,2.1,0.2,1.9,0
2025-01-03,Joda_Pit_3,700,652,5.5,0.2,0.7,0
2025-01-03,Garividi_Pit_1,600,549,3.4,0.9,1.2,0
2025-01-03,Vizianagaram_Pit_2,550,397,0.2,2.5,3.7,15
2025-01-03,Sandur_Pit_1,750,574,2.6,2.5,3.5,30
2025-01-03,Ballari_Pit_2,650,576,2.1,0.1,0.3,45
2025-01-04,Bharveli_Pit_1,850,809,0.0,0.2,1.3,15
2025-01-04,Ukwa_Pit_2,600,535,2.1,0.3,2.0,0
2025-01-04,Tirodi_Pit_3,750,634,2.1,2.1,1.7,15
2025-01-04,Dongri_Buzurg_Pit_4,900,875,0.2,0.5,0.5,0
2025-01-04,Mansar_Pit_5,500,381,4.5,1.1,2.5,15
2025-01-04,Kandri_Pit_6,650,590,1.7,0.7,0.3,30
2025-01-04,Keonjhar_Pit_1,800,595,5.6,3.4,3.9,0
2025-01-04,Barbil_Pit_2,850,677,0.0,2.9,0.9,60
2025-01-04,Joda_Pit_3,700,665,3.8,0.4,0.3,15
2025-01-04,Garividi_Pit_1,600,512,5.5,1.3,1.4,0
2025-01-04,Vizianagaram_Pit_2,550,427,4.2,1.5,1.9,30
2025-01-04,Sandur_Pit_1,750,644,0.9,0.4,2.7,30
2025-01-04,Ballari_Pit_2,650,491,3.2,1.2,1.9,30
2025-01-05,Bharveli_Pit_1,850,808,4.4,0.5,0.8,0
2025-01-05,Ukwa_Pit_2,600,538,1.3,0.9,0.5,15
2025-01-05,Tirodi_Pit_3,750,699,0.1,0.0,2.8,0
2025-01-05,Dongri_Buzurg_Pit_4,900,861,2.9,0.3,1.6,0
2025-01-05,Mansar_Pit_5,500,455,0.1,0.8,1.2,15
2025-01-05,Kandri_Pit_6,650,610,3.2,0.3,0.9,0
2025-01-05,Keonjhar_Pit_1,800,626,0.1,3.6,2.9,15
2025-01-05,Barbil_Pit_2,850,783,0.3,0.3,1.3,30
2025-01-05,Joda_Pit_3,700,532,2.2,0.4,5.0,30
2025-01-05,Garividi_Pit_1,600,527,1.1,0.3,0.7,30
2025-01-05,Vizianagaram_Pit_2,550,541,0.0,0.1,0.1,0
2025-01-05,Sandur_Pit_1,750,714,1.3,0.1,1.1,0
2025-01-05,Ballari_Pit_2,650,601,0.4,0.6,0.8,15
2025-01-06,Bharveli_Pit_1,850,736,0.9,1.1,1.1,45
2025-01-06,Ukwa_Pit_2,600,565,2.1,0.2,0.1,15
2025-01-06,Tirodi_Pit_3,750,671,5.6,0.9,0.8,15
2025-01-06,Dongri_Buzurg_Pit_4,900,783,1.2,0.9,4.5,0
2025-01-06,Mansar_Pit_5,500,439,0.1,0.4,3.0,0
2025-01-06,Kandri_Pit_6,650,594,3.4,0.4,0.2,15
2025-01-06,Keonjhar_Pit_1,800,720,2.7,1.8,0.5,0
2025-01-06,Barbil_Pit_2,850,634,2.8,1.8,7.5,0
2025-01-06,Joda_Pit_3,700,554,0.8,2.9,3.1,0
2025-01-06,Garividi_Pit_1,600,471,2.8,1.5,0.2,45
2025-01-06,Vizianagaram_Pit_2,550,452,0.8,2.5,0.8,0
2025-01-06,Sandur_Pit_1,750,645,4.7,0.1,0.6,60
2025-01-06,Ballari_Pit_2,650,603,2.0,0.7,0.6,0
2025-01-07,Bharveli_Pit_1,850,713,2.2,1.5,2.5,30
2025-01-07,Ukwa_Pit_2,600,510,0.1,0.9,0.9,45
2025-01-07,Tirodi_Pit_3,750,712,0.9,0.1,0.2,30
2025-01-07,Dongri_Buzurg_Pit_4,900,817,0.2,1.3,0.1,30
2025-01-07,Mansar_Pit_5,500,392,2.4,0.1,0.1,90
2025-01-07,Kandri_Pit_6,650,390,3.4,3.2,6.8,30
2025-01-07,Keonjhar_Pit_1,800,724,0.9,0.1,2.4,15
